Date,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation
2018-01-31,10.75,3.8026,2.8270130963025,2.0359848484848,-46.458085297301,-13.432940949615,-22.757271543094,-11.253722430214,12.849702306486,-14.031578534595
2017-07-31,10.75,3.57605,3.006110093539,2.0283018867925,-43.28094163134,-8.4451166768024,-9.8189812951702,6.3671406970132,24.364715123508,1.2429597103716
2017-01-31,10.75,3.91115,2.7485522161001,2.1245059288538,-45.680786243081,-10.969698960134,-9.2919202585005,8.6010274466482,11.187912112843,-4.8046202278553
2016-07-31,10.75,3.04305,3.5326399500501,2.1329365079365,-29.907937499006,13.707680709814,11.846917555135,30.965446323895,33.415427292959,24.369097648249
2016-01-31,10.25,3.0096,3.4057682083998,2.079107505071,-30.917480559842,10.523616376093,19.566726594716,19.556556032386,47.694922454754,22.045221505765
2015-07-31,10.25,2.6457,3.8742109838606,2.1398747390397,-19.118768604163,23.84769369735,29.570008405923,22.219114118627,70.165558560305,36.574490729298
2015-01-31,9.25,2.33345,3.9640875099102,1.9311064718163,-17.242431943419,29.014816998502,27.28922950244,25.120356834544,72.451983017152,36.036048684527
2014-07-31,9.25,2.09125,4.4231918708906,1.9290928050052,-7.7540798562958,42.867041499926,20.661427181534,23.883261714518,79.605827561302,52.616929266952
2014-01-31,8.5,2.26155,3.7584842254206,1.8381690394666,-18.720831311863,28.225827086256,10.060197502411,16.391901094278,94.662975189936,26.700744656925
2013-07-31,8.5,1.95745,4.3423842243735,1.865398683248,-4.7026139493735,45.1111225912,31.401708769618,50.327377854202,102.25164615854,55.142084650472
2013-01-31,8.45,1.76875,4.7773851590106,1.9347914231879,9.387500957621,65.988997358376,37.679934065623,56.061040688117,101.74713459845,73.212586431626
2012-07-31,8.25,1.8269,4.515846515956,1.9064124783362,4.3523169487231,58.707788202817,42.91594872084,47.89983688907,60.924181237666,68.679184522972
2012-01-31,6.6,1.86295,3.5427681902359,1.57246939641,-15.592506701199,31.575161879646,12.119849031802,28.767850428558,26.988739228012,32.044848801413
2011-07-31,6.5,1.72285,3.7728182952666,1.5990159901599,-7.1877418138607,53.271271814182,12.445035446586,40.985132640092,45.295803459815,48.342044992392
2010-07-31,5.95,1.5293,3.890668933499,1.59375,4.2143464330086,,,,,
2010-01-31,5.65,1.47455,3.8316774609203,1.5782122905028,7.0300966737509,,,,,
2009-07-31,5.65,1.55005,3.6450437082675,1.5826330532213,2.1020646573523,,,,,
2008-06-30,5.15,1.19275,4.3177530915951,1.4425770308123,20.945464750562,,,,,
2007-06-30,4.75,1.2981,3.6591942069178,1.3929618768328,7.3077480034546,,,,,
2007-01-31,4.55,1.40975,3.2275226103919,1.4130434782609,0.23362144074264,,,,,
2006-05-31,4.2,1.5415,2.7246188777165,1.3548387096774,-12.109068460758,,,,,
2006-01-31,4.1,1.3365,3.0677141788253,1.3015873015873,-2.6122482912607,,,,,
2005-06-30,4.0,1.369,2.9218407596786,1.3071895424837,-4.5150078536406,,,,,
2004-05-31,3950000.0,1531000.0,2.58,1362068.9655172,-11.034032298025,,,,,
2003-04-30,3750000.0,1600500.0,2.28,1383763.8376384,-13.54177834187,,,,,
2002-04-30,4000000.0,1324500.0,3.06,1606425.7028112,21.285443775858,,,,,
2001-04-30,0.0,0.0,0.0,0.0,0.0,,,,,
2000-04-30,0.0,0.0,0.0,0.0,0.0,,,,,
