Date,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation
2018-01-31,49.0,7.8501,6.241958701163,9.280303030303,18.218914794755,6.9322726798408,-4.5856403983721,9.624160235013,39.398002788248,6.1928034385879
2017-07-31,49.0,8.2852,5.9141601892531,9.2452830188679,11.587928099116,-3.4749391424443,-4.9233858127312,12.141421149318,31.116017629041,6.7390672428129
2017-01-31,49.0,8.64835,5.6658206478692,9.6837944664032,11.972740076467,-3.4636035327445,-1.6443722369563,17.757119990489,20.562103471777,3.2212495768114
2016-07-31,46.8,8.49355,5.5100635187878,9.2857142857143,9.3266571188052,-5.5343761492915,-7.0802537113685,8.8029631124597,10.838348754136,3.32287426629
2016-01-31,46.8,8.97465,5.2146880379736,9.4929006085193,5.7746052327307,-22.383167080229,-16.032510108189,-16.039652534965,3.7209285684285,-14.29195065392
2015-07-31,46.0,8.14255,5.6493358960031,9.6033402922756,17.940206597142,-11.561008361408,-7.4747332959919,-12.723968538103,21.514337178271,-2.4728690291978
2015-01-31,48.0,7.6225,6.2971466054444,10.020876826722,31.464438527023,-6.3290657980984,-7.5819249391157,-9.1566303387993,25.208396446236,-1.231315426638
2014-07-31,48.0,6.1873,7.7578265156045,10.010427528676,61.789916905204,14.826814722466,-3.0205483527881,-0.43105680105329,44.35495316439,22.663111634863
2014-01-31,48.0,6.15745,7.7954347984961,10.380248693458,68.580316420893,14.273499523788,-1.9155172349216,3.7272299700013,73.481582518493,12.914362209395
2013-07-31,46.0,6.1281,7.5064049215907,10.095098756401,64.734563019547,13.957225179647,3.1910845141362,18.05360294164,58.830253482174,21.834640650942
2013-01-31,43.0,5.4831,7.8422790027539,9.845684165335,79.564191157101,24.471131388466,3.242850040462,17.02639698565,51.285292986213,29.887925988964
2012-07-31,43.0,6.09205,7.0583793632685,9.9364529173888,63.105242363224,21.264079788599,9.1979870994114,13.006033442527,22.957562287879,28.882938400791
2012-01-31,41.0,6.0399,6.7881918574811,9.76837049285,61.730665952251,18.818451472187,1.2494049100228,16.283319501583,14.676699871967,19.242600467512
2011-07-31,45.0,5.41405,8.3117075017778,11.070110701107,104.47004924423,46.321873814766,7.3467199232168,34.592794486179,38.708017282172,41.616140662785
2010-07-31,45.0,6.24625,7.2043225935561,12.053571428571,92.972926613111,,,,,
2010-01-31,40.0,5.69555,7.0230267489531,11.173184357542,96.173931535004,,,,,
2009-07-31,40.0,6.50925,6.1451012021354,11.204481792717,72.131686334326,,,,,
2008-06-30,40.0,5.07915,7.8753334711517,11.204481792717,120.59757622274,,,,,
2007-06-30,40.0,5.8139,6.8800632965823,11.730205278592,101.76138699655,,,,,
2007-01-31,41.5,6.1023,6.8007144847025,12.888198757764,111.20231318952,,,,,
2006-05-31,43.0,6.1023,7.0465234419809,13.870967741935,127.30720780584,,,,,
2006-01-31,0.0,0.0,0.0,0.0,0.0,,,,,
2005-06-30,39.0,6.4326,6.0628672698442,12.745098039216,98.132917315171,,,,,
2004-05-31,35.5,6.8491,5.1831627513104,12.241379310345,78.729750045186,,,,,
2003-04-30,0.0,0.0,0.0,0.0,0.0,,,,,
2002-04-30,35.0,8.56,4.09,14.056224899598,64.208234808392,,,,,
2001-04-30,0.0,0.0,0.0,0.0,0.0,,,,,
2000-04-30,0.0,0.0,0.0,0.0,0.0,,,,,
